produto;instituição;Valor Mínimo;Rentabilidade;Valor Líquido;Rating do Emissor;Vencimento;Liquidez;Taxa;Detalhes
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;25,36%;R$ 1.253,57;Sem Rating;730 dias;No ;123,0% CDI;LCI/LCA 104.55% CDI
CDB;BANCO MASTER;R$ 1.000,00;25,41%;R$ 1.254,14;BBB- FITCH;733 dias;;123,0% CDI;LCI/LCA 104.55% CDI
CDB;WILLBANK;R$ 1.000,00;40,55%;R$ 1.405,50;Sem Rating;1095 dias;No ;123,0% CDI;LCI/LCA 104.55% CDI
CDB;NEON FINANCEIRA;R$ 1.000,00;76,16%;R$ 1.761,64;Sem Rating;1800 dias;;123,0% CDI;LCI/LCA 104.55% CDI
CDB;BANCO MASTER;R$ 1.123,02;40,27%;R$ 1.575,24;BBB- FITCH;1091 dias;No ;122,94% CDI;LCI/LCA 104.5% CDI
LFSN;BANCO DE BRASILIA;R$ 395.875,60;90,58%;R$ 754.440,29;Sem Rating;2040 dias;No ;123,0% CDI;LCI/LCA 104.55% CDI
Picpay;CDB;;;;;;;;105,0% CDI
Picpay;CDB;;;;;;;;105,0% CDI
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;99,24%;R$ 1.992,39;Sem Rating;2190 dias;No ;13,80%PRÉ;LCI/LCA 11.73% PRÉ
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;99,14%;R$ 1.991,44;Sem Rating;2190 dias;No ;13,80%PRÉ;LCI/LCA 11.73% PRÉ
CDB;BANCO AFINZ;R$ 1.000,00;24,73%;R$ 1.247,29;Sem Rating;721 dias;;122,0% CDI;LCI/LCA 103.7% CDI
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;25,12%;R$ 1.251,23;Sem Rating;730 dias;No ;122,0% CDI;LCI/LCA 103.7% CDI
CDB;WILLBANK;R$ 1.000,00;25,12%;R$ 1.251,23;Sem Rating;730 dias;No ;122,0% CDI;LCI/LCA 103.7% CDI
CDB;NEON FINANCEIRA;R$ 1.000,00;25,17%;R$ 1.251,72;Sem Rating;731 dias;;117,0% CDI;LCI/LCA 99.45% CDI
CDB;BANCO MASTER;R$ 1.000,00;39,44%;R$ 1.394,38;BBB- FITCH;1080 dias;;117,0% CDI;LCI/LCA 99.45% CDI
CDB;NEON FINANCEIRA;R$ 1.000,00;56,36%;R$ 1.563,63;Sem Rating;1440 dias;;122,0% CDI;LCI/LCA 103.7% CDI
CDB;BANCO MASTER;R$ 1.000,00;56,13%;R$ 1.561,28;BBB- FITCH;1441 dias;;117,0% CDI;LCI/LCA 99.45% CDI
CDB;BANCO MASTER;R$ 1.000,00;99,18%;R$ 1.991,78;BBB- FITCH;2198 dias;;122,0% CDI;LCI/LCA 103.7% CDI
CDB;MIDWAY;R$ 1.332,37;36,91%;R$ 1.824,15;Sem Rating;1019 dias;No ;121,95% CDI;LCI/LCA 103.66% CDI
LF;CARUANA FINANCEIRA;R$ 50.000,00;75,33%;R$ 87.663,89;BBB S&P;1800 dias;;122,0% CDI;LCI/LCA 103.7% CDI
LFSN;BANCO DE BRASILIA;R$ 529.535,50;66,01%;R$ 879.081,54;Sem Rating;1627 dias;No ;122,0% CDI;LCI/LCA 103.7% CDI
LFSN;BANCO BMG;R$ 795.959,90;25,80%;R$ 1.001.326,89;Sem Rating;746 dias;No ;122,0% CDI;LCI/LCA 103.7% CDI
LFSN;BANCO BMG;R$ 796.762,81;25,69%;R$ 1.001.433,85;B+ FITCH;744 dias;No ;122,0% CDI;LCI/LCA 103.7% CDI
CDB;BANCO VOITER;R$ 1.000,00;39,93%;R$ 1.399,34;Sem Rating;1095 dias;;116,5% CDI;LCI/LCA 99.02% CDI
CDB;WILLBANK;R$ 1.000,00;56,07%;R$ 1.560,69;Sem Rating;1440 dias;;121,5% CDI;LCI/LCA 103.27% CDI
CDB;WILLBANK;R$ 1.241,28;32,90%;R$ 1.649,68;Sem Rating;929 dias;No ;121,5% CDI;LCI/LCA 103.27% CDI
LF;CARUANA FINANCEIRA;R$ 50.000,00;39,26%;R$ 69.627,90;BBB S&P;1080 dias;;121,5% CDI;LCI/LCA 103.27% CDI
LF;CARUANA FINANCEIRA;R$ 50.000,00;56,07%;R$ 78.034,26;BBB S&P;1440 dias;;121,5% CDI;LCI/LCA 103.27% CDI
CRA;MADERO;R$ 991,43;67,81%;R$ 1.663,73;Sem Rating;1476 dias;;IPCA +8,77%;CDB IPCA + 10.32%
CRA;MADERO;R$ 991,43;67,81%;R$ 1.663,73;Sem Rating;1476 dias;;IPCA +8,77%;CDB IPCA + 10.32%
CRA;MADERO;R$ 991,43;67,81%;R$ 1.663,73;Sem Rating;1476 dias;;IPCA +8,77%;CDB IPCA + 10.32%
CRA;AGROINSUMOS;R$ 1.066,38;120,92%;R$ 2.355,90;Sem Rating;2270 dias;No ;IPCA +8,75%;CDB IPCA + 10.29%
CDB;BANCO BMG;R$ 100,00;56,85%;R$ 156,85;B+ FITCH;1461 dias;No ;121,0% CDI;LCI/LCA 102.85% CDI
CDB;BANCO BMG;R$ 100,00;75,88%;R$ 175,88;B+ FITCH;1827 dias;No ;121,0% CDI;LCI/LCA 102.85% CDI
CDB;BANCO MASTER;R$ 500,00;24,50%;R$ 622,50;BBB- FITCH;721 dias;;121,0% CDI;LCI/LCA 102.85% CDI
CDB;BANCO MASTER;R$ 500,00;74,50%;R$ 872,48;BBB- FITCH;1800 dias;;121,0% CDI;LCI/LCA 102.85% CDI
CDB;BANCO MASTER;R$ 500,00;95,71%;R$ 978,54;BBB- FITCH;2160 dias;;121,0% CDI;LCI/LCA 102.85% CDI
CDB;BANCO MASTER;R$ 1.000,00;24,50%;R$ 1.245,00;BBB FITCH;721 dias;;121,0% CDI;LCI/LCA 102.85% CDI
CDB;WILLBANK;R$ 1.000,00;31,61%;R$ 1.316,13;Sem Rating;900 dias;No ;121,0% CDI;LCI/LCA 102.85% CDI
CDB;WILLBANK;R$ 1.000,00;39,06%;R$ 1.390,62;Sem Rating;1080 dias;;121,0% CDI;LCI/LCA 102.85% CDI
CDB;WILLBANK;R$ 1.000,00;39,76%;R$ 1.397,56;Sem Rating;1095 dias;No ;121,0% CDI;LCI/LCA 102.85% CDI
CDB;BANCO MASTER;R$ 1.000,00;74,50%;R$ 1.744,96;BBB- FITCH;1800 dias;;121,0% CDI;LCI/LCA 102.85% CDI
CDB;CARUANA FINANCEIRA;R$ 1.000,00;74,58%;R$ 1.745,77;BBB S&P;1803 dias;;121,0% CDI;LCI/LCA 102.85% CDI
CDB;BANCO MASTER;R$ 1.000,00;74,58%;R$ 1.745,77;BBB FITCH;1803 dias;;121,0% CDI;LCI/LCA 102.85% CDI
CDB;CARUANA FINANCEIRA;R$ 1.000,00;75,72%;R$ 1.757,15;BBB S&P;1825 dias;;121,0% CDI;LCI/LCA 102.85% CDI
CDB;CARUANA FINANCEIRA;R$ 1.000,00;75,72%;R$ 1.757,15;BBB S&P;1825 dias;No ;121,0% CDI;LCI/LCA 102.85% CDI
CDB;BANCO MASTER;R$ 1.000,00;76,12%;R$ 1.761,24;BBB- FITCH;1832 dias;;121,0% CDI;LCI/LCA 102.85% CDI
CDB;BANCO MASTER;R$ 1.000,00;95,71%;R$ 1.957,07;BBB- FITCH;2161 dias;;121,0% CDI;LCI/LCA 102.85% CDI
CDB;BANCO MASTER;R$ 1.000,00;95,71%;R$ 1.957,07;BBB FITCH;2161 dias;;121,0% CDI;LCI/LCA 102.85% CDI
CDB;BANCO DIGIMAIS;R$ 5.000,00;74,50%;R$ 8.724,81;BBB- FITCH;1800 dias;;121,0% CDI;LCI/LCA 102.85% CDI
CDB;CARUANA FINANCEIRA;R$ 5.000,00;74,50%;R$ 8.724,81;BBB S&P;1800 dias;;121,0% CDI;LCI/LCA 102.85% CDI
CDB;BANCO DIGIMAIS;R$ 5.000,00;95,71%;R$ 9.785,37;Sem Rating;2161 dias;;121,0% CDI;LCI/LCA 102.85% CDI
CDB;BANCO DIGIMAIS;R$ 5.000,00;97,64%;R$ 9.882,19;BBB- FITCH;2190 dias;;121,0% CDI;LCI/LCA 102.85% CDI
CDB;BANCO DIGIMAIS;R$ 5.000,00;97,64%;R$ 9.882,19;BBB- FITCH;2190 dias;;121,0% CDI;LCI/LCA 102.85% CDI
CDB;BANCO DIGIMAIS;R$ 5.000,00;97,64%;R$ 9.882,19;BBB- FITCH;2190 dias;;121,0% CDI;LCI/LCA 102.85% CDI
CDB;BANCO MASTER DE INVESTIME;R$ 1.016,84;94,02%;R$ 1.972,86;Sem Rating;2141 dias;No ;13,60%PRÉ;LCI/LCA 11.56% PRÉ
CDB;WILLBANK;R$ 1.000,00;24,77%;R$ 1.247,73;Sem Rating;730 dias;;120,5% CDI;LCI/LCA 102.42% CDI
CDB;CARUANA FINANCEIRA;R$ 1.000,00;38,93%;R$ 1.389,31;BBB S&P;1083 dias;;120,5% CDI;LCI/LCA 102.42% CDI
CDB;BANCO ORIGINAL;R$ 1.000,00;38,93%;R$ 1.389,31;Sem Rating;1083 dias;;120,5% CDI;LCI/LCA 102.42% CDI
CDB;BANCO VOITER;R$ 1.000,00;39,43%;R$ 1.394,33;Sem Rating;1093 dias;;120,5% CDI;LCI/LCA 102.42% CDI
